id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,point_capture_progress,MapDataId
614,29,point_progress,430.26,2,T_5568bd9d,0,33.69,42
615,29,point_progress,431.59,2,T_5568bd9d,0,66.89,42
616,29,point_progress,511.23,3,T_f27c3e61,2,33.58,42
617,29,point_progress,512.56,3,T_f27c3e61,2,66.68,42
618,29,point_progress,520.97,3,T_5568bd9d,2,33.48,42
619,29,point_progress,522.97,3,T_5568bd9d,2,66.88,42
620,29,point_progress,562.45,3,T_a02bf5e9,2,33.58,42
621,29,point_progress,563.86,3,T_a02bf5e9,2,66.88,42
622,29,point_progress,660.33,3,T_5568bd9d,2,33.35,42
623,29,point_progress,661.71,3,T_5568bd9d,2,67.15,42
624,29,point_progress,663.02,3,T_5568bd9d,2,99.95,42
625,29,point_progress,683.71,3,T_a02bf5e9,2,33.57,42
626,29,point_progress,685.84,3,T_a02bf5e9,2,66.87,42
627,35,point_progress,38.27,1,T_a02bf5e9,0,33.35,44
628,35,point_progress,40.94,1,T_a02bf5e9,0,66.75,44
629,35,point_progress,43.62,1,T_a02bf5e9,0,0,44
630,35,point_progress,156.05,2,T_a02bf5e9,1,33.59,44
631,35,point_progress,157.83,2,T_a02bf5e9,1,66.89,44
632,35,point_progress,236.89,2,T_a02bf5e9,1,33.56,44
633,35,point_progress,238.21,2,T_a02bf5e9,1,66.76,44
634,35,point_progress,239.54,2,T_a02bf5e9,1,99.96,44
635,35,point_progress,360.06,3,T_a02bf5e9,2,33.79,44
636,35,point_progress,361.47,3,T_a02bf5e9,2,67.09,44
637,35,point_progress,398.57,3,T_a02bf5e9,2,33.37,44
638,35,point_progress,400.37,3,T_a02bf5e9,2,66.78,44
639,35,point_progress,403.04,3,T_a02bf5e9,2,0,44
640,35,point_progress,435.11,3,T_a02bf5e9,2,33.39,44
641,35,point_progress,446.68,3,T_a02bf5e9,2,67.16,44
642,35,point_progress,447.99,3,T_a02bf5e9,2,99.96,44
643,35,point_progress,481.66,3,T_a02bf5e9,2,33.48,44
644,35,point_progress,483.71,3,T_a02bf5e9,2,66.88,44
645,35,point_progress,575.44,4,T_a02bf5e9,3,33.54,44
646,35,point_progress,577.3,4,T_a02bf5e9,3,66.64,44
647,35,point_progress,586.16,4,T_a02bf5e9,3,33.3,44
648,35,point_progress,587.95,4,T_a02bf5e9,3,66.9,44
649,35,point_progress,589.71,4,T_a02bf5e9,3,99.9,44
650,35,point_progress,655.08,4,T_a02bf5e9,3,33.36,44
651,35,point_progress,673.28,4,T_a02bf5e9,3,66.94,44
652,35,point_progress,796.2,5,T_a02bf5e9,4,33.4,44
653,35,point_progress,798.17,5,T_a02bf5e9,4,66.99,44
654,35,point_progress,873.02,5,T_a02bf5e9,4,33.46,44
655,35,point_progress,876.99,5,T_a02bf5e9,4,66.64,44
656,35,point_progress,878.38,5,T_a02bf5e9,4,99.94,44
657,35,point_progress,925.27,5,T_a02bf5e9,4,33.58,44
658,35,point_progress,929.04,5,T_a02bf5e9,4,66.96,44
659,35,point_progress,40.24,1,T_a02bf5e9,0,33.32,45
660,35,point_progress,47.12,1,T_a02bf5e9,0,66.65,45
661,35,point_progress,52.46,1,T_a02bf5e9,0,99.95,45
662,35,point_progress,610.41,2,T_5568bd9d,0,33.36,45
663,35,point_progress,615.86,2,T_5568bd9d,0,66.61,45
664,35,point_progress,622.96,2,T_5568bd9d,0,99.96,45
705,29,point_progress,31.89,1,T_f27c3e61,2,33.38,50
706,29,point_progress,36.45,1,T_f27c3e61,2,66.74,50
707,29,point_progress,133.16,1,T_a02bf5e9,2,33.46,50
708,29,point_progress,134.49,1,T_a02bf5e9,2,66.66,50
709,29,point_progress,166.87,1,T_5568bd9d,2,33.49,50
710,29,point_progress,170.92,1,T_5568bd9d,2,66.77,50
711,29,point_progress,247.03,2,T_f27c3e61,0,33.48,50
712,29,point_progress,248.46,2,T_f27c3e61,0,66.98,50
713,29,point_progress,312.93,2,T_5568bd9d,0,33.38,50
714,29,point_progress,362.02,2,T_5568bd9d,0,33.57,50
715,29,point_progress,363.62,2,T_5568bd9d,0,66.68,50
716,29,point_progress,398.41,2,T_a02bf5e9,0,33.49,50
717,29,point_progress,403.26,2,T_a02bf5e9,0,66.77,50
718,29,point_progress,404.59,2,T_a02bf5e9,0,99.97,50
719,29,point_progress,418.35,2,T_5568bd9d,0,33.37,50
720,29,point_progress,419.72,2,T_5568bd9d,0,66.88,50
721,29,point_progress,500.79,2,T_a02bf5e9,0,33.37,50
722,29,point_progress,502.13,2,T_a02bf5e9,0,66.87,50
723,29,point_progress,540.63,3,T_f27c3e61,1,33.38,50
724,29,point_progress,542.4,3,T_f27c3e61,1,66.68,50
725,29,point_progress,558.73,3,T_5568bd9d,1,33.49,50
726,29,point_progress,560.6,3,T_5568bd9d,1,66.98,50
727,29,point_progress,625.3,3,T_a02bf5e9,1,33.46,50
728,29,point_progress,627.13,3,T_a02bf5e9,1,66.66,50
729,29,point_progress,643.45,3,T_5568bd9d,1,33.59,50
730,29,point_progress,645.2,3,T_5568bd9d,1,66.99,50
731,36,point_progress,31.34,1,T_f27c3e61,2,33.38,51
732,36,point_progress,33.14,1,T_f27c3e61,2,66.68,51
733,36,point_progress,35.04,1,T_f27c3e61,2,99.98,51
734,36,point_progress,153.09,1,T_5568bd9d,2,33.57,51
735,36,point_progress,154.42,1,T_5568bd9d,2,66.78,51
736,36,point_progress,330.94,2,T_f27c3e61,0,33.59,51
737,36,point_progress,332.76,2,T_f27c3e61,0,66.79,51
738,36,point_progress,360.83,2,T_a02bf5e9,0,33.49,51
739,36,point_progress,362.58,2,T_a02bf5e9,0,66.69,51
740,36,point_progress,370.78,2,T_a02bf5e9,0,99.97,51
741,36,point_progress,393.26,2,T_5568bd9d,0,33.69,51
742,36,point_progress,394.59,2,T_5568bd9d,0,66.89,51
743,36,point_progress,501.75,2,T_a02bf5e9,0,33.57,51
744,36,point_progress,574.85,3,T_f27c3e61,1,33.39,51
745,36,point_progress,576.4,3,T_f27c3e61,1,66.99,51
746,36,point_progress,577.93,3,T_f27c3e61,1,99.99,51
747,36,point_progress,669.03,3,T_5568bd9d,1,33.37,51
748,36,point_progress,670.6,3,T_5568bd9d,1,66.87,51
749,36,point_progress,57.36,1,T_a02bf5e9,0,33.46,53
750,36,point_progress,58.89,1,T_a02bf5e9,0,66.96,53
751,36,point_progress,131.91,1,T_a02bf5e9,0,33.39,53
752,36,point_progress,134.59,1,T_a02bf5e9,0,66.79,53
753,36,point_progress,138.37,1,T_a02bf5e9,0,99.97,53
754,36,point_progress,253.52,2,T_a02bf5e9,1,33.39,53
755,36,point_progress,256.21,2,T_a02bf5e9,1,66.99,53
756,36,point_progress,258.86,2,T_a02bf5e9,1,0,53
757,36,point_progress,316.45,2,T_a02bf5e9,1,33.59,53
758,36,point_progress,318.22,2,T_a02bf5e9,1,66.89,53
759,36,point_progress,389.69,2,T_a02bf5e9,1,33.39,53
760,36,point_progress,392.36,2,T_a02bf5e9,1,66.79,53
