[00:02:01] ;player_health;hypnobeam;550;550
[00:02:01] ;player_ult;hypnobeam;0;0
[00:02:01] ;player_status;jhan;Mei;(115.91, 16.16, -125.07)
[00:02:01] ;player_health;jhan;250;250
[00:02:01] ;player_ult;jhan;0;0
[00:02:01] ;player_status;ModWilliam;McCree;(-2.60, 16.89, -124.72)
[00:02:01] ;player_health;ModWilliam;225;225
[00:02:01] ;player_ult;ModWilliam;0;0
[00:02:01] ;player_status;BiggieZ;McCree;(108.32, 15.93, -125.98)
[00:02:01] ;player_health;BiggieZ;225;225
[00:02:01] ;player_ult;BiggieZ;0;0
[00:02:01] ;player_status;MortalWombat;Winston;(-2.08, 19.95, -125.41)
[00:02:01] ;player_health;MortalWombat;500;500
[00:02:01] ;player_ult;MortalWombat;0;0
[00:02:01] ;player_status;Yomi;Lúcio;(114.41, 16.71, -126.70)
[00:02:01] ;player_health;Yomi;200;200
[00:02:01] ;player_ult;Yomi;0;0
[00:02:01] ;player_status;Catalyst;Baptiste;(111.11, 15.93, -125.12)
[00:02:01] ;player_health;Catalyst;200;200
[00:02:01] ;player_ult;Catalyst;0;0
[00:02:01] ;used_ability_2;Yomi;Lúcio;<Icon>
[00:02:01] ;damage_dealt;seniorcheese;23.50;seniorcheese
[00:02:02] ;player_status;seniorcheese;Zarya;(99.73, 16.81, -123.94)
[00:02:02] ;player_health;seniorcheese;353;400
[00:02:02] ;player_ult;seniorcheese;0;0
[00:02:02] ;player_status;Midreadias;Zarya;(-6.16, 16.20, -125.32)
[00:02:02] ;player_health;Midreadias;400;400
[00:02:02] ;player_ult;Midreadias;0;0
[00:02:02] ;player_status;Electric;Ana;(-4.99, 15.93, -125.90)
[00:02:02] ;player_health;Electric;200;200
[00:02:02] ;player_ult;Electric;0;0
[00:02:02] ;player_status;burninate;Tracer;(18.13, 16.89, -138.48)
[00:02:02] ;player_health;burninate;150;150
[00:02:02] ;player_ult;burninate;1;0
[00:02:02] ;player_status;JohnnyB;Brigitte;(1.35, 16.84, -125.01)
[00:02:02] ;player_health;JohnnyB;200;200
[00:02:02] ;player_ult;JohnnyB;0;0
[00:02:02] ;player_status;hypnobeam;Reinhardt;(94.72, 14.98, -123.14)
[00:02:02] ;player_health;hypnobeam;550;550
[00:02:02] ;player_ult;hypnobeam;0;0
[00:02:02] ;player_status;jhan;Mei;(108.07, 16.70, -124.76)
[00:02:02] ;player_health;jhan;250;250
[00:02:02] ;player_ult;jhan;0;0
[00:02:02] ;player_status;ModWilliam;McCree;(2.83, 16.89, -124.91)
[00:02:02] ;player_health;ModWilliam;225;225
[00:02:02] ;player_ult;ModWilliam;0;0
[00:02:02] ;player_status;BiggieZ;McCree;(100.60, 15.93, -124.81)
[00:02:02] ;player_health;BiggieZ;225;225
[00:02:02] ;player_ult;BiggieZ;0;0
[00:02:02] ;player_status;MortalWombat;Winston;(15.44, 13.34, -121.43)
[00:02:02] ;player_health;MortalWombat;500;500
[00:02:02] ;player_ult;MortalWombat;0;0
[00:02:02] ;player_status;Yomi;Lúcio;(106.69, 16.88, -125.54)
[00:02:02] ;player_health;Yomi;200;200
[00:02:02] ;player_ult;Yomi;0;0
[00:02:02] ;player_status;Catalyst;Baptiste;(104.15, 15.93, -122.16)
[00:02:02] ;player_health;Catalyst;200;200
[00:02:02] ;player_ult;Catalyst;0;0
[00:02:03] ;damage_dealt;seniorcheese;23.50;seniorcheese
[00:02:03] ;player_status;seniorcheese;Zarya;(90.09, 13.40, -122.00)
[00:02:03] ;player_health;seniorcheese;329.50;400
[00:02:03] ;player_ult;seniorcheese;0;0
[00:02:03] ;player_status;Midreadias;Zarya;(-0.87, 16.74, -125.23)
[00:02:03] ;player_health;Midreadias;400;400
[00:02:03] ;player_ult;Midreadias;0;0
[00:02:03] ;player_status;Electric;Ana;(0.55, 15.93, -125.34)
[00:02:03] ;player_health;Electric;200;200
[00:02:03] ;player_ult;Electric;0;0
[00:02:03] ;player_status;burninate;Tracer;(23.33, 13.00, -135.79)
[00:02:03] ;player_health;burninate;150;150
[00:02:03] ;player_ult;burninate;1;0
[00:02:03] ;player_status;JohnnyB;Brigitte;(6.78, 16.69, -124.96)
[00:02:03] ;player_health;JohnnyB;200;200
[00:02:03] ;player_ult;JohnnyB;0;0
[00:02:03] ;player_status;hypnobeam;Reinhardt;(83.30, 12.94, -119.80)
[00:02:03] ;player_health;hypnobeam;550;550
[00:02:03] ;player_ult;hypnobeam;1;0
[00:02:03] ;player_status;jhan;Mei;(99.69, 16.88, -124.35)
[00:02:03] ;player_health;jhan;250;250
[00:02:03] ;player_ult;jhan;1;0
[00:02:03] ;player_status;ModWilliam;McCree;(7.90, 15.45, -123.94)
[00:02:03] ;player_health;ModWilliam;225;225
[00:02:03] ;player_ult;ModWilliam;1;0
[00:02:03] ;player_status;BiggieZ;McCree;(92.48, 14.20, -124.97)
[00:02:03] ;player_health;BiggieZ;225;225
[00:02:03] ;player_ult;BiggieZ;1;0
[00:02:03] ;player_status;MortalWombat;Winston;(22.30, 13.81, -117.29)
[00:02:03] ;player_health;MortalWombat;500;500
[00:02:03] ;player_ult;MortalWombat;1;0
[00:02:03] ;player_status;Yomi;Lúcio;(98.05, 16.89, -123.58)
[00:02:03] ;player_health;Yomi;200;200
[00:02:03] ;player_ult;Yomi;0;0
[00:02:03] ;player_status;Catalyst;Baptiste;(96.06, 15.52, -125.06)
[00:02:03] ;player_health;Catalyst;200;200
[00:02:03] ;player_ult;Catalyst;0;0
[00:02:04] ;player_status;seniorcheese;Zarya;(83.04, 12.93, -117.15)
[00:02:04] ;player_health;seniorcheese;329.50;400
[00:02:04] ;player_ult;seniorcheese;1;0
[00:02:04] ;player_status;Midreadias;Zarya;(4.65, 16.20, -124.83)
[00:02:04] ;player_health;Midreadias;400;400
[00:02:04] ;player_ult;Midreadias;1;0
[00:02:04] ;player_status;Electric;Ana;(6.08, 15.94, -124.79)
[00:02:04] ;player_health;Electric;200;200
[00:02:04] ;player_ult;Electric;1;0
[00:02:04] ;player_status;burninate;Tracer;(28.63, 11.20, -134.95)
[00:02:04] ;player_health;burninate;150;150
[00:02:04] ;player_ult;burninate;1;0
[00:02:04] ;player_status;JohnnyB;Brigitte;(12.21, 15.24, -124.79)
[00:02:04] ;player_health;JohnnyB;200;200
[00:02:04] ;player_ult;JohnnyB;0;0
[00:02:04] ;player_status;hypnobeam;Reinhardt;(79.14, 13.80, -116.62)
[00:02:04] ;player_health;hypnobeam;550;550
[00:02:04] ;player_ult;hypnobeam;1;0
[00:02:04] ;player_status;jhan;Mei;(91.03, 15.90, -122.90)
[00:02:04] ;player_health;jhan;250;250
[00:02:04] ;player_ult;jhan;1;0
[00:02:04] ;player_status;ModWilliam;McCree;(12.74, 13.14, -122.76)
[00:02:04] ;player_health;ModWilliam;225;225
[00:02:04] ;player_ult;ModWilliam;1;0
[00:02:04] ;player_status;BiggieZ;McCree;(85.07, 12.93, -121.16)
[00:02:04] ;player_health;BiggieZ;225;225
[00:02:04] ;player_ult;BiggieZ;1;0
[00:02:04] ;player_status;MortalWombat;Winston;(27.83, 13.83, -117.42)
[00:02:04] ;player_health;MortalWombat;500;500
[00:02:04] ;player_ult;MortalWombat;1;0
[00:02:04] ;player_status;Yomi;Lúcio;(88.29, 16.40, -121.42)
[00:02:04] ;player_health;Yomi;200;200
[00:02:04] ;player_ult;Yomi;0;0
[00:02:04] ;player_status;Catalyst;Baptiste;(88.54, 13.00, -122.60)
[00:02:04] ;player_health;Catalyst;200;200
[00:02:04] ;player_ult;Catalyst;1;0
[00:02:05] ;player_status;seniorcheese;Zarya;(74.98, 13.88, -117.84)
[00:02:05] ;player_health;seniorcheese;329.50;400
[00:02:05] ;player_ult;seniorcheese;1;0
[00:02:05] ;player_status;Midreadias;Zarya;(9.89, 15.68, -123.56)
[00:02:05] ;player_health;Midreadias;400;400
[00:02:05] ;player_ult;Midreadias;1;0
[00:02:05] ;player_status;Electric;Ana;(11.08, 13.86, -124.01)
[00:02:05] ;player_health;Electric;200;200
