[00:01:30] ;player_status;JohnnyB;Ana;(95.26, 6.25, 8.71)
[00:01:30] ;player_health;JohnnyB;200;200
[00:01:30] ;player_ult;JohnnyB;0;0
[00:01:30] ;player_status;jhan;Pharah;(1.15, 0.42, 6.24)
[00:01:30] ;player_health;jhan;200;200
[00:01:30] ;player_ult;jhan;0;0
[00:01:30] ;player_status;seniorcheese;D.Va;(13.15, 5.43, 9.99)
[00:01:30] ;player_health;seniorcheese;600;600
[00:01:30] ;player_ult;seniorcheese;0;0
[00:01:30] ;player_status;Yomi;Mercy;(-4.96, 1.34, 6.12)
[00:01:30] ;player_health;Yomi;200;200
[00:01:30] ;player_ult;Yomi;0;0
[00:01:30] ;player_status;burninate;Tracer;(81.89, 7.23, 16.90)
[00:01:30] ;player_health;burninate;150;150
[00:01:30] ;player_ult;burninate;0;0
[00:01:30] ;used_ability_1;BiggieZ;Tracer;<Icon>
[00:01:30] ;used_ability_1;jhan;Pharah;<Icon>
[00:01:31] ;used_ability_1;MortalWombat;Winston;<Icon>
[00:01:31] ;used_ability_1;Yomi;Mercy;<Icon>
[00:01:31] ;player_status;hypnobeam;Winston;(19.82, 6.25, 11.63)
[00:01:31] ;player_health;hypnobeam;500;500
[00:01:31] ;player_ult;hypnobeam;0;0
[00:01:31] ;player_status;Electric;Brigitte;(85.51, 4.93, -22.66)
[00:01:31] ;player_health;Electric;200;200
[00:01:31] ;player_ult;Electric;0;0
[00:01:31] ;player_status;Catalyst;Ana;(5.95, 0.75, 4.56)
[00:01:31] ;player_health;Catalyst;200;200
[00:01:31] ;player_ult;Catalyst;0;0
[00:01:31] ;player_status;ModWilliam;Ashe;(85.89, 6.25, 16.10)
[00:01:31] ;player_health;ModWilliam;200;200
[00:01:31] ;player_ult;ModWilliam;0;0
[00:01:31] ;player_status;Midreadias;D.Va;(77.44, 9.03, 8.88)
[00:01:31] ;player_health;Midreadias;600;600
[00:01:31] ;player_ult;Midreadias;0;0
[00:01:31] ;player_status;MortalWombat;Winston;(72.94, 8.33, 9.23)
[00:01:31] ;player_health;MortalWombat;500;500
[00:01:31] ;player_ult;MortalWombat;0;0
[00:01:31] ;player_status;BiggieZ;Tracer;(25.41, 0.08, 12.21)
[00:01:31] ;player_health;BiggieZ;150;150
[00:01:31] ;player_ult;BiggieZ;1;0
[00:01:31] ;player_status;JohnnyB;Ana;(95.58, 6.25, 8.14)
[00:01:31] ;player_health;JohnnyB;200;200
[00:01:31] ;player_ult;JohnnyB;0;0
[00:01:31] ;player_status;jhan;Pharah;(10.33, 11.44, 9.02)
[00:01:31] ;player_health;jhan;200;200
[00:01:31] ;player_ult;jhan;0;0
[00:01:31] ;player_status;seniorcheese;D.Va;(21.67, 6.26, 12.80)
[00:01:31] ;player_health;seniorcheese;600;600
[00:01:31] ;player_ult;seniorcheese;0;0
[00:01:31] ;player_status;Yomi;Mercy;(3.93, 1.96, 7.87)
[00:01:31] ;player_health;Yomi;200;200
[00:01:31] ;player_ult;Yomi;0;0
[00:01:31] ;player_status;burninate;Tracer;(81.89, 6.72, 16.90)
[00:01:31] ;player_health;burninate;150;150
[00:01:31] ;player_ult;burninate;1;0
[00:01:31] ;used_ability_1;BiggieZ;Tracer;<Icon>
[00:01:32] ;player_status;hypnobeam;Winston;(24.92, 6.85, 12.40)
[00:01:32] ;player_health;hypnobeam;500;500
[00:01:32] ;player_ult;hypnobeam;1;0
[00:01:32] ;player_status;Electric;Brigitte;(89.82, 4.25, -22.83)
[00:01:32] ;player_health;Electric;200;200
[00:01:32] ;player_ult;Electric;0;0
[00:01:32] ;player_status;Catalyst;Ana;(10.50, 0.80, 7.30)
[00:01:32] ;player_health;Catalyst;200;200
[00:01:32] ;player_ult;Catalyst;0;0
[00:01:32] ;player_status;ModWilliam;Ashe;(85.91, 6.25, 15.08)
[00:01:32] ;player_health;ModWilliam;200;200
[00:01:32] ;player_ult;ModWilliam;0;0
[00:01:32] ;player_status;Midreadias;D.Va;(77.07, 6.25, 11.35)
[00:01:32] ;player_health;Midreadias;600;600
[00:01:32] ;player_ult;Midreadias;1;0
[00:01:32] ;player_status;MortalWombat;Winston;(71.08, 6.25, 14.94)
[00:01:32] ;player_health;MortalWombat;500;500
[00:01:32] ;player_ult;MortalWombat;1;0
[00:01:32] ;player_status;BiggieZ;Tracer;(37.06, -0.21, 16.60)
[00:01:32] ;player_health;BiggieZ;150;150
[00:01:32] ;player_ult;BiggieZ;1;0
[00:01:32] ;player_status;JohnnyB;Ana;(95.95, 6.25, 7.38)
[00:01:32] ;player_health;JohnnyB;200;200
[00:01:32] ;player_ult;JohnnyB;0;0
[00:01:32] ;player_status;jhan;Pharah;(16.43, 9.08, 11.26)
[00:01:32] ;player_health;jhan;200;200
[00:01:32] ;player_ult;jhan;0;0
[00:01:32] ;player_status;seniorcheese;D.Va;(27.20, 6.25, 13.20)
[00:01:32] ;player_health;seniorcheese;600;600
[00:01:32] ;player_ult;seniorcheese;1;0
[00:01:32] ;player_status;Yomi;Mercy;(19.58, 6.72, 11.82)
[00:01:32] ;player_health;Yomi;200;200
[00:01:32] ;player_ult;Yomi;1;0
[00:01:32] ;player_status;burninate;Tracer;(81.89, 6.59, 16.90)
[00:01:32] ;player_health;burninate;150;150
[00:01:32] ;player_ult;burninate;1;0
[00:01:33] ;player_status;hypnobeam;Winston;(30.40, 8.03, 12.19)
[00:01:33] ;player_health;hypnobeam;500;500
[00:01:33] ;player_ult;hypnobeam;1;0
[00:01:33] ;player_status;Electric;Brigitte;(94.51, 6.25, -14.06)
[00:01:33] ;player_health;Electric;200;200
[00:01:33] ;player_ult;Electric;0;0
[00:01:33] ;player_status;Catalyst;Ana;(15.07, 1.05, 10.12)
[00:01:33] ;player_health;Catalyst;200;200
[00:01:33] ;player_ult;Catalyst;1;0
[00:01:33] ;player_status;ModWilliam;Ashe;(86.73, 6.25, 15.47)
[00:01:33] ;player_health;ModWilliam;200;200
[00:01:33] ;player_ult;ModWilliam;1;0
[00:01:33] ;player_status;Midreadias;D.Va;(75.52, 6.25, 10.34)
[00:01:33] ;player_health;Midreadias;600;600
[00:01:33] ;player_ult;Midreadias;1;0
[00:01:33] ;player_status;MortalWombat;Winston;(72.99, 6.25, 14.45)
[00:01:33] ;player_health;MortalWombat;500;500
[00:01:33] ;player_ult;MortalWombat;1;0
[00:01:33] ;player_status;BiggieZ;Tracer;(41.63, -0.36, 18.93)
[00:01:33] ;player_health;BiggieZ;150;150
[00:01:33] ;player_ult;BiggieZ;1;0
[00:01:33] ;player_status;JohnnyB;Ana;(96.70, 6.25, 8.36)
[00:01:33] ;player_health;JohnnyB;200;200
[00:01:33] ;player_ult;JohnnyB;1;0
[00:01:33] ;player_status;jhan;Pharah;(21.93, 6.58, 12.24)
[00:01:33] ;player_health;jhan;200;200
[00:01:33] ;player_ult;jhan;1;0
[00:01:33] ;player_status;seniorcheese;D.Va;(32.60, 4.20, 13.65)
[00:01:33] ;player_health;seniorcheese;600;600
[00:01:33] ;player_ult;seniorcheese;1;0
[00:01:33] ;player_status;Yomi;Mercy;(26.81, 6.25, 13.85)
[00:01:33] ;player_health;Yomi;200;200
[00:01:33] ;player_ult;Yomi;1;0
[00:01:33] ;player_status;burninate;Tracer;(81.89, 7.23, 16.90)
[00:01:33] ;player_health;burninate;150;150
[00:01:33] ;player_ult;burninate;1;0
[00:01:33] ;used_ability_1;BiggieZ;Tracer;<Icon>
[00:01:34] ;player_status;hypnobeam;Winston;(34.99, 5.25, 10.41)
[00:01:34] ;player_health;hypnobeam;500;500
[00:01:34] ;player_ult;hypnobeam;1;0
[00:01:34] ;player_status;Electric;Brigitte;(98.97, 6.34, -10.82)
[00:01:34] ;player_health;Electric;200;200
[00:01:34] ;player_ult;Electric;1;0
[00:01:34] ;player_status;Catalyst;Ana;(20.11, 0.08, 12.02)
[00:01:34] ;player_health;Catalyst;200;200
[00:01:34] ;player_ult;Catalyst;1;0
[00:01:34] ;player_status;ModWilliam;Ashe;(86.61, 6.25, 16.40)
[00:01:34] ;player_health;ModWilliam;200;200
[00:01:34] ;player_ult;ModWilliam;1;0
[00:01:34] ;player_status;Midreadias;D.Va;(77.35, 6.25, 10.97)
[00:01:34] ;player_health;Midreadias;600;600
[00:01:34] ;player_ult;Midreadias;1;0
[00:01:34] ;player_status;MortalWombat;Winston;(72.28, 6.25, 14.67)
[00:01:34] ;player_health;MortalWombat;500;500
[00:01:34] ;player_ult;MortalWombat;1;0
[00:01:34] ;player_status;BiggieZ;Tracer;(45.99, -2.17, 6.23)
[00:01:34] ;player_health;BiggieZ;150;150
[00:01:34] ;player_ult;BiggieZ;2;0
[00:01:34] ;player_status;JohnnyB;Ana;(92.36, 6.25, 10.90)
[00:01:34] ;player_health;JohnnyB;200;200
[00:01:34] ;player_ult;JohnnyB;1;0
[00:01:34] ;player_status;jhan;Pharah;(27.46, 6.25, 12.67)
[00:01:34] ;player_health;jhan;200;200
[00:01:34] ;player_ult;jhan;1;0
[00:01:34] ;player_status;seniorcheese;D.Va;(37.55, -0.14, 11.41)
[00:01:34] ;player_health;seniorcheese;600;600
[00:01:34] ;player_ult;seniorcheese;1;0
[00:01:34] ;player_status;Yomi;Mercy;(31.60, 6.54, 12.08)
[00:01:34] ;player_health;Yomi;200;200
[00:01:34] ;player_ult;Yomi;1;0
[00:01:34] ;player_status;burninate;Tracer;(81.89, 6.50, 16.90)
[00:01:34] ;player_health;burninate;150;150
[00:01:34] ;player_ult;burninate;2;0
[00:01:35] ;damage_dealt;seniorcheese;0.90;MortalWombat
[00:01:35] ;damage_dealt;seniorcheese;0.60;MortalWombat
[00:01:35] ;player_status;hypnobeam;Winston;(39.01, 6.06, 6.91)
[00:01:35] ;player_health;hypnobeam;500;500
[00:01:35] ;player_ult;hypnobeam;2;0
[00:01:35] ;player_status;Electric;Brigitte;(103.54, 7.15, -7.73)
[00:01:35] ;player_health;Electric;200;200
[00:01:35] ;player_ult;Electric;1;0
[00:01:35] ;player_status;Catalyst;Ana;(25.38, 0.08, 12.48)
[00:01:35] ;player_health;Catalyst;200;200
[00:01:35] ;player_ult;Catalyst;1;0
[00:01:35] ;player_status;ModWilliam;Ashe;(83.87, 7.05, 15.21)
[00:01:35] ;player_health;ModWilliam;200;200
[00:01:35] ;player_ult;ModWilliam;1;0
[00:01:35] ;player_status;Midreadias;D.Va;(74.50, 6.25, 12.55)
[00:01:35] ;player_health;Midreadias;600;600
[00:01:35] ;player_ult;Midreadias;2;0
[00:01:35] ;player_status;MortalWombat;Winston;(71.69, 6.25, 15.59)
[00:01:35] ;player_health;MortalWombat;498.50;500
[00:01:35] ;player_ult;MortalWombat;2;0
[00:01:35] ;player_status;BiggieZ;Tracer;(49.81, -1.92, 3.43)
[00:01:35] ;player_health;BiggieZ;150;150
[00:01:35] ;player_ult;BiggieZ;2;0
[00:01:35] ;player_status;JohnnyB;Ana;(92.17, 6.25, 10.87)
[00:01:35] ;player_health;JohnnyB;200;200
[00:01:35] ;player_ult;JohnnyB;1;0
[00:01:35] ;player_status;jhan;Pharah;(33.10, 6.96, 11.58)
[00:01:35] ;player_health;jhan;200;200
[00:01:35] ;player_ult;jhan;1;0
[00:01:35] ;player_status;seniorcheese;D.Va;(41.21, -2.17, 8.30)
[00:01:35] ;player_health;seniorcheese;600;600
[00:01:35] ;player_ult;seniorcheese;2;0
[00:01:35] ;player_status;Yomi;Mercy;(35.65, 5.25, 9.35)
[00:01:35] ;player_health;Yomi;200;200
[00:01:35] ;player_ult;Yomi;1;0
[00:01:35] ;player_status;burninate;Tracer;(80.12, 7.00, 14.21)
[00:01:35] ;player_health;burninate;150;150
[00:01:35] ;player_ult;burninate;2;0
[00:01:36] ;damage_dealt;seniorcheese;0.30;MortalWombat
[00:01:36] ;damage_dealt;seniorcheese;0.30;MortalWombat
[00:01:36] ;damage_dealt;seniorcheese;0.30;Midreadias
[00:01:36] ;damage_dealt;seniorcheese;0.60;Midreadias
[00:01:36] ;player_status;hypnobeam;Winston;(43.53, 3.86, 3.94)
[00:01:36] ;player_health;hypnobeam;500;500
[00:01:36] ;player_ult;hypnobeam;2;0
[00:01:36] ;player_status;Electric;Brigitte;(104.21, 7.17, -2.54)
[00:01:36] ;player_health;Electric;200;200
[00:01:36] ;player_ult;Electric;1;0
[00:01:36] ;player_status;Catalyst;Ana;(30.45, 0.08, 12.38)
[00:01:36] ;player_health;Catalyst;200;200
[00:01:36] ;player_ult;Catalyst;1;0
[00:01:36] ;player_status;ModWilliam;Ashe;(79.20, 7.15, 12.78)
[00:01:36] ;player_health;ModWilliam;200;200
[00:01:36] ;player_ult;ModWilliam;1;0
[00:01:36] ;player_status;Midreadias;D.Va;(70.88, 6.25, 15.18)
[00:01:36] ;player_health;Midreadias;599.10;600
[00:01:36] ;player_ult;Midreadias;2;0
[00:01:36] ;player_status;MortalWombat;Winston;(72.99, 6.25, 14.61)
[00:01:36] ;player_health;MortalWombat;497.90;500
[00:01:36] ;player_ult;MortalWombat;2;0
[00:01:36] ;player_status;BiggieZ;Tracer;(55.49, -1.75, 2.79)
[00:01:36] ;player_health;BiggieZ;150;150
[00:01:36] ;player_ult;BiggieZ;3;0
[00:01:36] ;player_status;JohnnyB;Ana;(90.29, 6.25, 11.28)
[00:01:36] ;player_health;JohnnyB;200;200
[00:01:36] ;player_ult;JohnnyB;1;0
[00:01:36] ;player_status;jhan;Pharah;(38.08, 6.12, 8.22)
[00:01:36] ;player_health;jhan;200;200
[00:01:36] ;player_ult;jhan;1;0
[00:01:36] ;player_status;seniorcheese;D.Va;(44.33, -2.17, 6.42)
[00:01:36] ;player_health;seniorcheese;600;600
[00:01:36] ;player_ult;seniorcheese;2;0
[00:01:36] ;player_status;Yomi;Mercy;(36.04, 5.25, 9.45)
[00:01:36] ;player_health;Yomi;200;200
[00:01:36] ;player_ult;Yomi;2;0
[00:01:36] ;player_status;burninate;Tracer;(80.23, 6.25, 15.24)
[00:01:36] ;player_health;burninate;150;150
[00:01:36] ;player_ult;burninate;3;0
[00:01:36] ;damage_dealt;seniorcheese;0.60;Midreadias
[00:01:37] ;player_status;hypnobeam;Winston;(48.76, -1.92, 3.12)
[00:01:37] ;player_health;hypnobeam;500;500
[00:01:37] ;player_ult;hypnobeam;2;0
[00:01:37] ;player_status;Electric;Brigitte;(102.03, 6.24, 2.53)
