[00:01:41] ;player_status;MortalWombat;Reinhardt;(-16.86, -0.12, -27.89)
[00:01:41] ;player_health;MortalWombat;550;550
[00:01:41] ;player_ult;MortalWombat;0;0
[00:01:41] ;player_status;BiggieZ;Symmetra;(-6.32, 1.11, 16.20)
[00:01:41] ;player_health;BiggieZ;225;225
[00:01:41] ;player_ult;BiggieZ;0;0
[00:01:41] ;player_status;Catalyst;Baptiste;(-4.35, 2.12, 21.51)
[00:01:41] ;player_health;Catalyst;200;200
[00:01:41] ;player_ult;Catalyst;0;0
[00:01:41] ;player_status;SolidGhost;Lúcio;(-5.78, 2.63, 17.94)
[00:01:41] ;player_health;SolidGhost;200;200
[00:01:41] ;player_ult;SolidGhost;0;0
[00:01:41] ;player_status;Midreadias;Zarya;(-25.71, 4.99, -21.94)
[00:01:41] ;player_health;Midreadias;400;400
[00:01:41] ;player_ult;Midreadias;0;0
[00:01:42] ;damage_dealt;JohnnyB;10.40;hypnobeam
[00:01:42] ;damage_dealt;JohnnyB;10.40;BiggieZ
[00:01:42] ;damage_dealt;JohnnyB;10.40;seniorcheese
[00:01:42] ;damage_dealt;JohnnyB;10.40;SolidGhost
[00:01:42] ;damage_dealt;JohnnyB;9.60;hypnobeam
[00:01:42] ;damage_dealt;JohnnyB;9.60;BiggieZ
[00:01:42] ;damage_dealt;JohnnyB;9.60;seniorcheese
[00:01:42] ;damage_dealt;JohnnyB;4.80;seniorcheese
[00:01:42] ;damage_dealt;JohnnyB;9.60;SolidGhost
[00:01:42] ;damage_dealt;JohnnyB;9.60;hypnobeam
[00:01:42] ;damage_dealt;JohnnyB;10.40;jhan
[00:01:42] ;damage_dealt;JohnnyB;9.60;BiggieZ
[00:01:42] ;damage_dealt;JohnnyB;9.60;SolidGhost
[00:01:42] ;damage_dealt;JohnnyB;9.60;BiggieZ
[00:01:42] ;damage_dealt;JohnnyB;4.80;BiggieZ
[00:01:42] ;player_status;JohnnyB;Moira;(-28.98, 0.13, -21.04)
[00:01:42] ;player_health;JohnnyB;200;200
[00:01:42] ;player_ult;JohnnyB;6;0
[00:01:42] ;player_status;ModWilliam;Mei;(-21.16, -0.11, -28.97)
[00:01:42] ;player_health;ModWilliam;250;250
[00:01:42] ;player_ult;ModWilliam;0;0
[00:01:42] ;player_status;hypnobeam;Reinhardt;(-7.94, 0.88, 7.85)
[00:01:42] ;player_health;hypnobeam;520.40;550
[00:01:42] ;player_ult;hypnobeam;0;0
[00:01:42] ;player_status;teejusb;Symmetra;(-15.05, 0.55, -31.90)
[00:01:42] ;player_health;teejusb;225;225
[00:01:42] ;player_ult;teejusb;0;0
[00:01:42] ;player_status;seniorcheese;Zarya;(-7.24, -0.11, 7.36)
[00:01:42] ;player_health;seniorcheese;375.20;400
[00:01:42] ;player_ult;seniorcheese;0;0
[00:01:42] ;player_status;jhan;Mei;(-5.85, -0.11, 13.37)
[00:01:42] ;player_health;jhan;239.60;250
[00:01:42] ;player_ult;jhan;0;0
[00:01:42] ;player_status;Electric;Lúcio;(-17.51, -0.13, -34.24)
[00:01:42] ;player_health;Electric;200;200
[00:01:42] ;player_ult;Electric;0;0
[00:01:42] ;player_status;MortalWombat;Reinhardt;(-16.50, -0.13, -32.57)
[00:01:42] ;player_health;MortalWombat;550;550
[00:01:42] ;player_ult;MortalWombat;0;0
[00:01:42] ;player_status;BiggieZ;Symmetra;(-9.29, 0.54, 10.21)
[00:01:42] ;player_health;BiggieZ;181;225
[00:01:42] ;player_ult;BiggieZ;0;0
[00:01:42] ;player_status;Catalyst;Baptiste;(-2.21, 0.07, 15.41)
[00:01:42] ;player_health;Catalyst;200;200
[00:01:42] ;player_ult;Catalyst;0;0
[00:01:42] ;player_status;SolidGhost;Lúcio;(-7.91, -0.12, 7.37)
[00:01:42] ;player_health;SolidGhost;170.40;200
[00:01:42] ;player_ult;SolidGhost;0;0
[00:01:42] ;player_status;Midreadias;Zarya;(-21.36, 0.75, -26.08)
[00:01:42] ;player_health;Midreadias;400;400
[00:01:42] ;player_ult;Midreadias;0;0
[00:01:43] ;did_healing;Catalyst;24.80;seniorcheese
[00:01:43] ;did_healing;Catalyst;29.60;hypnobeam
[00:01:43] ;did_healing;Catalyst;44;BiggieZ
[00:01:43] ;did_healing;Catalyst;29.60;SolidGhost
[00:01:44] ;player_status;JohnnyB;Moira;(-30.86, 0.95, -20.43)
[00:01:44] ;player_health;JohnnyB;200;200
[00:01:44] ;player_ult;JohnnyB;6;0
[00:01:44] ;player_status;ModWilliam;Mei;(-21.69, -0.11, -29.29)
[00:01:44] ;player_health;ModWilliam;250;250
[00:01:44] ;player_ult;ModWilliam;1;0
[00:01:44] ;player_status;hypnobeam;Reinhardt;(-7.39, 0.38, 0.66)
[00:01:44] ;player_health;hypnobeam;550;550
[00:01:44] ;player_ult;hypnobeam;1;0
[00:01:44] ;player_status;teejusb;Symmetra;(-14.38, -0.13, -32.11)
[00:01:44] ;player_health;teejusb;225;225
[00:01:44] ;player_ult;teejusb;1;0
[00:01:44] ;player_status;seniorcheese;Zarya;(-6.26, -0.11, 0.50)
[00:01:44] ;player_health;seniorcheese;400;400
[00:01:44] ;player_ult;seniorcheese;0;0
[00:01:44] ;player_status;jhan;Mei;(-8.22, 0.46, 7.18)
[00:01:44] ;player_health;jhan;239.60;250
