[00:02:24] ;player_health;Yomi;200;200
[00:02:24] ;player_ult;Yomi;0;0
[00:02:24] ;player_status;JohnnyB;Mercy;(62.91, 6.10, -36.83)
[00:02:24] ;player_health;JohnnyB;200;200
[00:02:24] ;player_ult;JohnnyB;0;0
[00:02:24] ;player_status;Catalyst;Brigitte;(-53.20, 2.01, -34.69)
[00:02:24] ;player_health;Catalyst;200;200
[00:02:24] ;player_ult;Catalyst;0;0
[00:02:24] ;player_status;MortalWombat;Wrecking Ball;(64.73, 3.99, -34.80)
[00:02:24] ;player_health;MortalWombat;600;600
[00:02:24] ;player_ult;MortalWombat;0;0
[00:02:24] ;player_status;hypnobeam;Reinhardt;(-60.43, 2.00, -32.97)
[00:02:24] ;player_health;hypnobeam;550;550
[00:02:24] ;player_ult;hypnobeam;0;0
[00:02:24] ;player_status;Electric;Zenyatta;(67.04, 4.08, -33.39)
[00:02:24] ;player_health;Electric;200;200
[00:02:24] ;player_ult;Electric;0;0
[00:02:24] ;player_status;seniorcheese;D.Va;(-53.03, 3.85, -37.50)
[00:02:24] ;player_health;seniorcheese;600;600
[00:02:24] ;player_ult;seniorcheese;0;0
[00:02:24] ;used_ability_1;jhan;Tracer;<Icon>
[00:02:25] ;player_status;teejusb;Pharah;(50.46, 6.10, -30.19)
[00:02:25] ;player_health;teejusb;200;200
[00:02:25] ;player_ult;teejusb;0;0
[00:02:25] ;player_status;ModWilliam;Echo;(52.62, 11.75, -31.17)
[00:02:25] ;player_health;ModWilliam;200;200
[00:02:25] ;player_ult;ModWilliam;0;0
[00:02:25] ;player_status;Midreadias;Sigma;(57.55, 2.71, -35.35)
[00:02:25] ;player_health;Midreadias;400;400
[00:02:25] ;player_ult;Midreadias;0;0
[00:02:25] ;player_status;BiggieZ;Symmetra;(-50.05, 2.01, -37.18)
[00:02:25] ;player_health;BiggieZ;225;225
[00:02:25] ;player_ult;BiggieZ;0;0
[00:02:25] ;player_status;jhan;Tracer;(-49.59, 2.00, -38.39)
[00:02:25] ;player_health;jhan;150;150
[00:02:25] ;player_ult;jhan;1;0
[00:02:25] ;player_status;Yomi;Lúcio;(-61.62, 2.00, -40.04)
[00:02:25] ;player_health;Yomi;200;200
[00:02:25] ;player_ult;Yomi;0;0
[00:02:25] ;player_status;JohnnyB;Mercy;(51.42, 14.87, -34.66)
[00:02:25] ;player_health;JohnnyB;200;200
[00:02:25] ;player_ult;JohnnyB;0;0
[00:02:25] ;player_status;Catalyst;Brigitte;(-44.80, 0.42, -35.82)
[00:02:25] ;player_health;Catalyst;200;200
[00:02:25] ;player_ult;Catalyst;0;0
[00:02:25] ;player_status;MortalWombat;Wrecking Ball;(47.40, 2.00, -41.24)
[00:02:25] ;player_health;MortalWombat;600;600
[00:02:25] ;player_ult;MortalWombat;0;0
[00:02:25] ;player_status;hypnobeam;Reinhardt;(-52.40, 2.76, -35.69)
[00:02:25] ;player_health;hypnobeam;550;550
[00:02:25] ;player_ult;hypnobeam;0;0
[00:02:25] ;player_status;Electric;Zenyatta;(62.11, 2.00, -35.72)
[00:02:25] ;player_health;Electric;200;200
[00:02:25] ;player_ult;Electric;0;0
[00:02:25] ;player_status;seniorcheese;D.Va;(-38.67, 2.27, -41.56)
[00:02:25] ;player_health;seniorcheese;600;600
[00:02:25] ;player_ult;seniorcheese;0;0
[00:02:25] ;used_ability_1;teejusb;Pharah;<Icon>
[00:02:25] ;damage_dealt;teejusb;40;teejusb
[00:02:25] ;did_healing;JohnnyB;10.56;teejusb
[00:02:26] ;did_healing;JohnnyB;10.56;teejusb
[00:02:26] ;player_status;teejusb;Pharah;(42.60, 17.54, -29.30)
[00:02:26] ;player_health;teejusb;181.12;200
[00:02:26] ;player_ult;teejusb;0;0
[00:02:26] ;player_status;ModWilliam;Echo;(47.65, 15.72, -26.63)
[00:02:26] ;player_health;ModWilliam;200;200
[00:02:26] ;player_ult;ModWilliam;1;0
[00:02:26] ;player_status;Midreadias;Sigma;(52.34, 2.01, -37.24)
[00:02:26] ;player_health;Midreadias;400;400
[00:02:26] ;player_ult;Midreadias;1;0
[00:02:26] ;player_status;BiggieZ;Symmetra;(-41.85, 2.67, -40.23)
[00:02:26] ;player_health;BiggieZ;225;225
[00:02:26] ;player_ult;BiggieZ;1;0
[00:02:26] ;player_status;jhan;Tracer;(-40.52, 2.95, -41.30)
[00:02:26] ;player_health;jhan;150;150
[00:02:26] ;player_ult;jhan;1;0
[00:02:26] ;player_status;Yomi;Lúcio;(-53.24, 2.33, -38.66)
[00:02:26] ;player_health;Yomi;200;200
[00:02:26] ;player_ult;Yomi;0;0
[00:02:26] ;player_status;JohnnyB;Mercy;(43.81, 13.29, -29.92)
[00:02:26] ;player_health;JohnnyB;200;200
[00:02:26] ;player_ult;JohnnyB;1;0
[00:02:26] ;player_status;Catalyst;Brigitte;(-36.33, 0.34, -35.91)
[00:02:26] ;player_health;Catalyst;200;200
[00:02:26] ;player_ult;Catalyst;0;0
[00:02:26] ;player_status;MortalWombat;Wrecking Ball;(29.61, 0.09, -42.20)
[00:02:26] ;player_health;MortalWombat;600;600
[00:02:26] ;player_ult;MortalWombat;1;0
[00:02:26] ;player_status;hypnobeam;Reinhardt;(-44.46, 2.60, -39.53)
[00:02:26] ;player_health;hypnobeam;550;550
[00:02:26] ;player_ult;hypnobeam;1;0
[00:02:26] ;player_status;Electric;Zenyatta;(57.51, 1.86, -38.80)
[00:02:26] ;player_health;Electric;200;200
[00:02:26] ;player_ult;Electric;0;0
[00:02:26] ;player_status;seniorcheese;D.Va;(-31.31, 1.34, -41.71)
[00:02:26] ;player_health;seniorcheese;600;600
[00:02:26] ;player_ult;seniorcheese;1;0
